Cycle number,Reference energy [W.h],Reference power [W],n
1,18.588869148125227,66.13782556355861,2.0340838454644583
100,18.444905165199927,63.65767438208787,2.4473317255581217
200,18.348520327783554,60.06054196935567,2.5297236329960997
300,18.170934636241764,57.12264245459217,2.7550456084001187
400,18.023812938498693,54.25060013091537,2.926515901928819
500,17.972593417448007,51.31610582660734,2.8460399496758617
600,17.827064159575915,48.730347728792715,2.9886680829187884
700,17.793060473895345,45.938346272630206,2.8440955614654753
800,17.65324395627252,43.50073142194886,2.9377537961268643
900,17.614708476064344,40.89137636383943,2.7756055264339263
1000,17.497376768043484,38.48775678379532,2.769215175189438
