Cycle number,Reference energy [W.h],Reference power [W],n
1,18.58886925112517,66.13782346732611,2.0340842152365624
100,17.890960465095866,63.18735543256366,2.4707349086500554
200,17.241309255762637,58.714017669079674,2.6671950748411484
300,16.76173804973874,54.13697758507331,2.544985574832404
400,16.21162924914967,50.0611016678795,2.6078342153385448
500,15.706325446329693,45.94983477788979,2.6113006696161065
600,15.252472656111664,41.691822216177,2.5344985320048625
700,14.850501409734052,37.38438434185675,2.372779084025644
800,14.527036069772475,32.83767291204493,2.118232347635064
900,14.139496314232444,27.198201190764795,2.0691380966842132
1000,13.765795736629673,18.306417761029337,2.1134906894140872
