Cycle number,Reference energy [W.h],Reference power [W],n
1,18.61617973342901,66.55513185799329,1.9859688286707569
100,18.185896711895587,67.78421587024228,1.9931526623711335
200,17.688637214459945,67.00574198824812,1.9443722921993374
300,17.22651815224714,66.04370666850058,1.8912648459888983
400,16.79494612415006,64.91644522858414,1.8357068833095935
500,16.391207367363485,63.634826322286784,1.7786148543894291
600,16.014150458466652,62.19661340025256,1.7204897667298453
700,15.66366320137488,60.589848376960866,1.6618275415221728
800,15.340070170956388,58.803585560021965,1.603564677307074
900,15.043871854261619,56.84075537205874,1.547103311375237
1000,14.776110639360178,54.72292821414623,1.4935107470806797
